"","Z.pred","low.80%","high.80%"
"1975",NA,NA,NA
"1976",NA,NA,NA
"1977",NA,NA,NA
"1978",0.338062862974336,NA,NA
"1979",0.360474472830632,0.317468256612282,0.403480689048982
"1980",0.374933630059368,0.349359292738763,0.400507967379972
"1981",0.373732179187146,0.349331900746402,0.39813245762789
"1982",0.347933216055806,0.3092492065933,0.386617225518311
"1983",0.37751981887052,0.33483226835584,0.420207369385201
"1984",0.423022787138474,0.364908247957939,0.481137326319008
"1985",0.471837089736386,0.406908541812887,0.536765637659885
"1986",0.525042978669519,0.46256186783802,0.587524089501018
"1987",0.587866394437346,0.530105411644288,0.645627377230405
"1988",0.649153314266368,0.580356444786343,0.717950183746392
"1989",0.706601466663688,0.634120761098499,0.779082172228876
"1990",0.723807839668997,0.673793119260292,0.773822560077702
"1991",0.670084373106292,0.621546181534197,0.718622564678386
"1992",0.522854835942249,0.467942505962469,0.577767165922029
"1993",0.434331628532714,0.399496808363306,0.469166448702123
"1994",0.342063667135218,0.312341075902235,0.371786258368202
"1995",0.33676910291986,0.315774806061237,0.357763399778482
"1996",0.328067218394079,0.304287263110695,0.351847173677464
"1997",0.306210894619498,0.265738109356829,0.346683679882167
"1998",0.27768775836452,0.207911062390314,0.347464454338726
"1999",0.239898064391309,0.0750831431096276,0.40471298567299
"2000",0.169551997667423,NA,NA
"2001",NA,NA,NA
"2002",NA,NA,NA
"2003",NA,NA,NA
"2004",NA,NA,NA
"2005",NA,NA,NA
"2006",NA,NA,NA
"2007",NA,NA,NA
"2008",NA,NA,NA
"2009",NA,NA,NA
"2010",NA,NA,NA
"2011",NA,NA,NA
"2012",NA,NA,NA
"2013",NA,NA,NA
"2014",NA,NA,NA
